ID,ABN,Charity_Legal_Name,Other_Organisation_Names,Address_Type,Address_Line_1,Address_Line_2,Address_Line_3,Town_City,State,Postcode,Country,Charity_Website,Registration_Date,Date_Organisation_Established,Charity_Size,Number_of_Responsible_Persons,Financial_Year_End,Operates_in_ACT,Operates_in_NSW,Operates_in_NT,Operates_in_QLD,Operates_in_SA,Operates_in_TAS,Operates_in_VIC,Operates_in_WA,Operating_Countries,PBI,HPC,Preventing_or_relieving_suffering_of_animals,Advancing_Culture,Advancing_Education,Advancing_Health,Promote_or_oppose_a_change_to_law__government_poll_or_prac,Advancing_natual_environment,Promoting_or_protecting_human_rights,Purposes_beneficial_to_ther_general_public_and_other_analogous,Promoting_reconciliation__mutual_respect_and_tolerance,Advancing_Religion,Advancing_social_or_public_welfare,Advancing_security_or_safety_of_Australia_or_Australian_public,Aboriginal_or_TSI,Adults,Aged_Persons,Children,Communities_Overseas,Early_Childhood,Ethnic_Groups,Families,Females,Financially_Disadvantaged,Gay_Lesbian_Bisexual,General_Community_in_Australia,Males,Migrants_Refugees_or_Asylum_Seekers,Other_Beneficiaries,Other_Charities,People_at_risk_of_homelessness,People_with_Chronic_Illness,People_with_Disabilities,Pre_Post_Release_Offenders,Rural_Regional_Remote_Communities,Unemployed_Person,Veterans_or_their_families,Victims_of_crime,Victims_of_Disasters,Youth
179,11274684817,Uca - Sherwood,,Business,Po Box 249,,,Sherwood,Queensland,4075,Australia,http://www.sherwood.unitingchurch.org.au/,3/12/2012,1/01/1977,Small,5,31-Dec,,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
180,11276993085,Newhope Baptist Pre-School Inc,,Business,3 Springfield Road,,,Blackburn North,VIC,3130,Australia,https://www.newhopepreschool.net/,3/12/2012,1/01/1985,Medium,7,31-Dec,,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,
181,11277507106,Chinese Presbyterian Church Incorporated,,Business,,,,,,,Australia,,3/12/2012,1/01/2000,Small,3,30-Jun,,,,,,,,Y,,,,,,,,,,,,,,,,,Y,Y,Y,,Y,Y,Y,Y,,,,Y,,,,,Y,,,,,,,,Y
182,11278363724,The Trustee For Estate Of Cecilia Button,,Business,,,,,,,,,3/12/2012,1/01/1966,Small,9,30-Jun,,,,,,Y,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,
183,11279735826,Korean Central Presbyterian Church Incorporated,One Family Church,Business,2B Factory Street,,,GRANVILLE,NSW,2142,Australia,,3/12/2012,1/01/1981,Medium,8,30-Jun,,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
184,11283506036,Underwood Foundation,,Business,7 Owston St,,,Mosman Park,Western Australia,6012,Australia,,25/03/2023,24/03/2023,,3,30-Jun,,,,,,,,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,
185,11284486514,AGUCON NOT-FOR-PROFIT CHARITY ORGANISATION INCORPORATED,,Business,177 Greaves St N,,,Werribee,Victoria,3030,Australia,https://www.aguconorg.com,13/05/2021,18/09/2019,,4,30-Jun,,,,,,,Y,,,Y,,,,,,,,,,,,Y,,,Y,,Y,,Y,Y,Y,Y,,,Y,Y,,,,Y,,Y,,,,,Y,Y,Y
186,11285076458,The Dodge Family Foundation,,Business,80-82 River St,,,South Yarra,Victoria,3141,Australia,,11/04/2018,11/04/2018,Small,7,30-Jun,,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,Y,,Y,,Y,,,,Y,,,,,,,,,,
187,11285126970,The Trustee For Russell Mckimmin Charitable Trust,,Business,123 Pitt Street,,,Sydney,NSW,2034,AUSTRALIA,,3/12/2012,1/01/2001,Small,6,30-Jun,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,
188,11286533983,Corrigin Church Of Christ Inc,,Business,2 Davies St,,,Corrigin,Western Australia,6375,Australia,,3/12/2012,1/01/1955,Small,2,30-Jun,,,,,,,,Y,,,,,,,,,,,,,Y,,,,Y,Y,,Y,,,Y,,,,Y,,,,,,,,,Y,,,,,
